city_name,state_name
mumbai,maharashtra
delhi,delhi
bengaluru,karnataka
hyderabad,telangana
ahmedabad,gujarat
chennai,tamil-nadu
kolkata,west-bengal
surat,gujarat
pune,maharashtra
jaipur,rajasthan
lucknow,uttar-pradesh
kanpur,uttar-pradesh
nagpur,maharashtra
indore,madhya-pradesh
thane,maharashtra
bhopal,madhya-pradesh
visakhapatnam,andhra-pradesh
pimpri-chinchwad,maharashtra
patna,bihar
vadodara,gujarat
ghaziabad,uttar-pradesh
ludhiana,punjab
agra,uttar-pradesh
nashik,maharashtra
faridabad,haryana
meerut,uttar-pradesh
rajkot,gujarat
kalyan-dombivli,maharashtra
vasai-virar,maharashtra
varanasi,uttar-pradesh
srinagar,jammu-and-kashmir
aurangabad,maharashtra
dhanbad,jharkhand
amritsar,punjab
navi-mumbai,maharashtra
prayagraj,uttar-pradesh
howrah,west-bengal
ranchi,jharkhand
jabalpur,madhya-pradesh
gwalior,madhya-pradesh
coimbatore,tamil-nadu
vijayawada,andhra-pradesh
jodhpur,rajasthan
madurai,tamil-nadu
raipur,chhattisgarh
kota,rajasthan
guwahati,assam
chandigarh,chandigarh
solapur,maharashtra
hubli-dharwad,karnataka
tiruchirappalli,tamil-nadu
tiruppur,tamil-nadu
moradabad,uttar-pradesh
mysore,karnataka
bareilly,uttar-pradesh
gurgaon,haryana
aligarh,uttar-pradesh
jalandhar,punjab
bhubaneswar,odisha
salem,tamil-nadu
mira-bhayandar,maharashtra
warangal,telangana
thiruvananthapuram,kerala
guntur,andhra-pradesh
bhiwandi,maharashtra
saharanpur,uttar-pradesh
gorakhpur,uttar-pradesh
bikaner,rajasthan
amravati,maharashtra
noida,uttar-pradesh
jamshedpur,jharkhand
bhilai,chhattisgarh
cuttack,odisha
firozabad,uttar-pradesh
kochi,kerala
nellore,andhra-pradesh
bhavnagar,gujarat
dehradun,uttarakhand
durgapur,west-bengal
asansol,west-bengal
nanded,maharashtra
kolhapur,maharashtra
ajmer,rajasthan
gulbarga,karnataka
jamnagar,gujarat
ujjain,madhya-pradesh
loni,uttar-pradesh
siliguri,west-bengal
jhansi,uttar-pradesh
ulhasnagar,maharashtra
jammu,jammu-and-kashmir
sangli-miraj-kupwad,maharashtra
mangalore,karnataka
erode,tamil-nadu
belgaum,karnataka
ambattur,tamil-nadu
tirunelveli,tamil-nadu
malegaon,maharashtra
gaya,bihar
jalgaon,maharashtra
udaipur,rajasthan
maheshtala,west-bengal
davanagere,karnataka
kozhikode,kerala
kurnool,andhra-pradesh
akola,maharashtra
rajpur-sonarpur,west-bengal
rajahmundry,andhra-pradesh
bokaro,jharkhand
south-dumdum,west-bengal
bellary,karnataka
patiala,punjab
gopalpur,west-bengal
agartala,tripura
bhagalpur,bihar
muzaffarnagar,uttar-pradesh
bhatpara,west-bengal
panihati,west-bengal
latur,maharashtra
dhule,maharashtra
tirupati,andhra-pradesh
rohtak,haryana
korba,chhattisgarh
bhilwara,rajasthan
berhampur,odisha
muzaffarpur,bihar
ahmednagar,maharashtra
mathura,uttar-pradesh
kollam,kerala
avadi,tamil-nadu
kadapa,andhra-pradesh
kamarhati,west-bengal
bilaspur,chhattisgarh
shahjahanpur,uttar-pradesh
bijapur,karnataka
rampur,uttar-pradesh
shivamogga,karnataka
chandrapur,maharashtra
junagadh,gujarat
thrissur,kerala
alwar,rajasthan
bardhaman,west-bengal
kulti,west-bengal
kakinada,andhra-pradesh
nizamabad,telangana
parbhani,maharashtra
tumkur,karnataka
khammam,telangana
ozhukarai,puducherry
bihar-sharif,bihar
panipat,haryana
darbhanga,bihar
bally,west-bengal
aizawl,mizoram
dewas,madhya-pradesh
ichalkaranji,maharashtra
karnal,haryana
bathinda,punjab
jalna,maharashtra
eluru,andhra-pradesh
kirari-suleman-nagar,delhi
barasat,west-bengal
purnia,bihar
satna,madhya-pradesh
mau,uttar-pradesh
sonipat,haryana
farrukhabad,uttar-pradesh
sagar,madhya-pradesh
rourkela,odisha
durg,chhattisgarh
imphal,manipur
ratlam,madhya-pradesh
hapur,uttar-pradesh
arrah,bihar
karimnagar,telangana
anantapur,andhra-pradesh
etawah,uttar-pradesh
ambarnath,maharashtra
north-dumdum,west-bengal
bharatpur,rajasthan
begusarai,bihar
new-delhi,delhi
gandhidham,gujarat
baranagar,west-bengal
tiruvottiyur,tamil-nadu
puducherry,puducherry
sikar,rajasthan
thoothukudi,tamil-nadu
rewa,madhya-pradesh
mirzapur,uttar-pradesh
raichur,karnataka
pali,rajasthan
ramagundam,telangana
haridwar,uttarakhand
vijayanagaram,andhra-pradesh
katihar,bihar
nagarcoil,tamil-nadu
sri-ganganagar,rajasthan
karawal-nagar,delhi
mango,jharkhand
thanjavur,tamil-nadu
bulandshahr,uttar-pradesh
uluberia,west-bengal
murwara,uttar-pradesh
sambhal,uttar-pradesh
singrauli,madhya-pradesh
nadiad,gujarat
secunderabad,telangana
naihati,west-bengal
yamunanagar,haryana
bidhan-nagar,west-bengal
pallavaram,tamil-nadu
bidar,karnataka
munger,bihar
panchkula,haryana
burhanpur,madhya-pradesh
raurkela-industrial-township,odisha
kharagpur,west-bengal
dindigul,tamil-nadu
gandhinagar,gujarat
hospet,karnataka
nangloi-jat,delhi
malda,west-bengal
ongole,andhra-pradesh
deoghar,jharkhand
chapra,bihar
haldia,west-bengal
khandwa,madhya-pradesh
nandyal,andhra-pradesh
chittoor,andhra-pradesh
morena,madhya-pradesh
amroha,uttar-pradesh
anand,gujarat
bhind,madhya-pradesh
bhalswa-jahangir-pur,delhi
madhyamgram,west-bengal
bhiwani,haryana
baharampur,west-bengal
ambala,haryana
morvi,gujarat
fatehpur,uttar-pradesh
rae-bareli,uttar-pradesh
khora,uttar-pradesh
bhusawal,maharashtra
orai,uttar-pradesh
bahraich,uttar-pradesh
vellore,tamil-nadu
mahesana,gujarat
sambalpur,odisha
raiganj,west-bengal
sirsa,haryana
danapur,bihar
serampore,west-bengal
sultan-pur-majra,delhi
guna,madhya-pradesh
jaunpur,uttar-pradesh
panvel,maharashtra
shivpuri,madhya-pradesh
surendranagar-dudhrej,gujarat
unnao,uttar-pradesh
hugli-chuchura,west-bengal
badlapur,maharashtra
alappuzha,kerala
kottayam,kerala
gadag-betageri,karnataka
machilipatnam,andhra-pradesh
shimla,himachal-pradesh
adoni,andhra-pradesh
tenali,andhra-pradesh
proddatur,andhra-pradesh
saharsa,bihar
hindupur,andhra-pradesh
sasaram,bihar
hajipur,bihar
beed,maharashtra
bhimavaram,andhra-pradesh
dehri,bihar
madanapalle,andhra-pradesh
siwan,bihar
bettiah,bihar
gondia,maharashtra
guntakal,andhra-pradesh
srikakulam,andhra-pradesh
motihari,bihar
dharmavaram,andhra-pradesh
satara,maharashtra
barshi,maharashtra
gudivada,andhra-pradesh
yavatmal,maharashtra
narasaraopet,andhra-pradesh
bagaha,bihar
achalpur,maharashtra
osmanabad,maharashtra
nandurbar,maharashtra
miryalaguda,telangana
tadipatri,andhra-pradesh
kishanganj,bihar
wardha,maharashtra
karaikudi,tamil-nadu
suryapet,telangana
jamalpur,bihar
kavali,andhra-pradesh
tadepalligudem,andhra-pradesh
udgir,maharashtra
amaravati,andhra-pradesh
buxar,bihar
jehanabad,bihar
hinganghat,maharashtra
aurangabad,bihar